Name,Institution,Best_Matched_Name,Best_Matched_Institution,Match_Score,Notes
Hongchen Guo,NUS,Hongchen Guo,National University of Singapore (NUS),82.93,Medium confidence
Indrajit Pradeepchandra Wadgaonkar,NTU,Indrajit Wadgaonkar,Nanyang Technological University (NTU),82.93,Medium confidence
Ivan Ying Ming Yow,NUS,Ivan Yow,National University of Singapore (NUS),82.93,Medium confidence
Jake Taylor,Oxford,Jake Taylor,University of Oxford,89.23,Medium confidence
Jake Turley,NUS,Jake Turley,National University of Singapore (NUS),82.93,Medium confidence
Jan Christoph Thiele,Oxford,Jan Thiele,University of Oxford,89.23,Medium confidence
Jessica Kendall-Bar,UCSD,Jessica Kendall-Bar,"""University of California, San Diego""",82.93,Medium confidence
Jiadong Dan,NUS,Jiadong Dan,National University of Singapore (NUS),82.93,Medium confidence
Jiahe Cui,,Jiahe Cui,University of Oxford,80.0,Medium confidence
Jialun Chen,Oxford,Jialun Chen,University of Oxford,89.23,Medium confidence
Jiaru Bai,,Jiaru Bai,University of Toronto,80.0,Medium confidence
Jie Bu,NUS,Jie Bu,National University of Singapore (NUS),82.93,Medium confidence
"Darius, Jieming Pan",NUS,Jieming Darius,National University of Singapore (NUS),82.93,Medium confidence
Jinzhao Sun,Oxford,Jinzhao Sun,University of Oxford,89.23,Medium confidence
Jonathan Pattrick,,Jonathan Pattrick,University of Oxford,80.0,Medium confidence
Jordan Shivers,Chicago,Jordan Shivers,The University of Chicago,88.75,Medium confidence
Joseph Walker,UCSD,Joseph Walker,"""University of California, San Diego""",82.93,Medium confidence
Ju Huang,,Ju Huang,University of Toronto,80.0,Medium confidence
Judit Prat Marti,Chicago,Judit Marti,The University of Chicago,88.75,Medium confidence
Kei Onn Lai,NTU,Kei Lai,Nanyang Technological University (NTU),82.93,Medium confidence
Keming Zhang,UCSD,Keming Zhang,"""University of California, San Diego""",82.93,Medium confidence
Konstantinos (Kostas) Polyzos,UCSD,Konstantinos Polyzos,"""University of California, San Diego""",82.93,Medium confidence
Kyle Crocker,Chicago,Kyle Crocker,The University of Chicago,88.75,Medium confidence
Laura Mansfield,Oxford,Laura Mansfield,University of Oxford,89.23,Medium confidence
Lauren Severance,UCSD,Lauren Severance,"""University of California, San Diego""",82.93,Medium confidence
Ludwig Schneider,Chicago,Ludwig Schneider,The University of Chicago,88.75,Medium confidence
Lydia France,Oxford,Lydia France,University of Oxford,89.23,Medium confidence
Madeleine Torcasso (Durkee),Chicago,Madeleine Torcasso,The University of Chicago,88.75,Medium confidence
Mahdi Soleymani,UCSD, Soleymani,"""University of California, San Diego""",82.93,Medium confidence
Mahesh Kumar  Klie,,Mahesh Klie,"""University of California, San Diego""",80.0,Medium confidence
Mahesh Mulimani,,Mahesh Mulimani,"""University of California, San Diego""",80.0,Medium confidence
Marcelo Caparotta,UCSD,Marcelo Caparotta,"""University of California, San Diego""",82.93,Medium confidence
Maria Gabriela (Gabby) Navas Zuloaga,UCSD,Maria Zuloaga,"""University of California, San Diego""",82.93,Medium confidence
Martin Falk,Chicago,Martin Falk,The University of Chicago,88.75,Medium confidence
Melissa Quinnan,UCSD,Melissa Quinnan,"""University of California, San Diego""",82.93,Medium confidence
Mengyun Wang,Oxford,Mengyun Wang,University of Oxford,89.23,Medium confidence
Micah Bowles,Oxford,Micah Bowles,University of Oxford,89.23,Medium confidence
Michelle Obama,,Michelle Obama,Imperial College London,80.0,Medium confidence
Milan Kloewer,Oxford,Milan Kloewer,University of Oxford,89.23,Medium confidence
Min  Zhang,,Min Zhang,"""University of California, San Diego""",80.0,Medium confidence
Minghao Han,NTU,Minghao Han,Nanyang Technological University (NTU),82.93,Medium confidence
Neeraj Lal,UCSD,Neeraj Lal,"""University of California, San Diego""",82.93,Medium confidence
Niklas Klusch,UCSD,Niklas Klusch,"""University of California, San Diego""",82.93,Medium confidence
Peter Lu,Chicago,Peter Lu,The University of Chicago,88.75,Medium confidence
Phuong Le,UCSD,Phuong Le,"""University of California, San Diego""",82.93,Medium confidence
Qi Hu,Oxford,Qi Hu,University of Oxford,89.23,Medium confidence
Qingyun Tian,NTU,Qingyun Tian,Nanyang Technological University (NTU),82.93,Medium confidence
Rachel Parkinson,Oxford,Rachel Parkinson,University of Oxford,89.23,Medium confidence
Ramanujan Srinath,Chicago,Ramanujan Srinath,The University of Chicago,88.75,Medium confidence
Richard Creswell,Oxford,Richard Creswell,University of Oxford,89.23,Medium confidence
Ritesh Kumar,Chicago,Ritesh Kumar,The University of Chicago,88.75,Medium confidence
Roya  Moghaddasi Fereidani,,Roya Fereidani,"""University of California, San Diego""",80.0,Medium confidence
Roya  Zhong,,Roya Zhong,"""University of California, San Diego""",80.0,Medium confidence
Rui Ding,Chicago,Rui Ding,The University of Chicago,88.75,Medium confidence
Ryan Leung,,Ryan Leung,University of Toronto,80.0,Medium confidence
Samvida Venkatesh,Oxford,Samvida Venkatesh,University of Oxford,89.23,Medium confidence
Saswata Dasgupta,UCSD,Saswata Dasgupta,"""University of California, San Diego""",82.93,Medium confidence
Shailaja Seetharaman,Chicago,Shailaja Seetharaman,The University of Chicago,88.75,Medium confidence
Shanshan Liu,,Shanshan Liu,University of Michigan,80.0,Medium confidence
Shichuan Sun,NTU,Shichuan Sun,Nanyang Technological University (NTU),82.93,Medium confidence
Shira Lupkin,Chicago,Shira Lupkin,The University of Chicago,88.75,Medium confidence
Shuxiang Cao,Oxford,Shuxiang Cao,University of Oxford,89.23,Medium confidence
Stephan Ihle,Chicago,Stephan Ihle,The University of Chicago,88.75,Medium confidence
Stephanie Khuu,UCSD,Stephanie Khuu,"""University of California, San Diego""",82.93,Medium confidence
Taina Coleman,UCSD,Taina Coleman,,80.0,Medium confidence
Taniya Kapoor,,Taniya Kapoor,University of Oxford,80.0,Medium confidence
Tao Wang,NUS,Tao Wang,National University of Singapore (NUS),82.93,Medium confidence
Thomas Callister,Chicago,Thomas Callister,The University of Chicago,88.75,Medium confidence
Thomas Monahan,,Thomas Monahan,University of Oxford,80.0,Medium confidence
Tiancheng Cao,NTU,Tiancheng Cao,Nanyang Technological University (NTU),82.93,Medium confidence
Tianning Tang,Oxford,Tianning Tang,University of Oxford,89.23,Medium confidence
Tina Dang,,Tina Dang,Nanyang Technological University (NTU),80.0,Medium confidence
Tsz Wai Ko,UCSD,Tsz Ko,"""University of California, San Diego""",82.93,Medium confidence
Veronika Juraskova,Oxford,Veronika Juraskova,University of Oxford,89.23,Medium confidence
William (Jake) Wright,UCSD,William Wright,"""University of California, San Diego""",82.93,Medium confidence
William Denault,Chicago,William Denault,The University of Chicago,88.75,Medium confidence
Xiaoyu Zhao,UCSD,Xiaoyu Zhao,"""University of California, San Diego""",82.93,Medium confidence
Xinyu Liu,,Xinyu Liu,University of Michigan,80.0,Medium confidence
Xu Chang,NUS,Xu Chang,National University of Singapore (NUS),82.93,Medium confidence
Xu Chen,,Xu Chen,University of Toronto,80.0,Medium confidence
Yang Long,NTU,Yang Long,Nanyang Technological University (NTU),82.93,Medium confidence
Yao Yu,UCSD,Yao Yu,"""University of California, San Diego""",82.93,Medium confidence
Yaonan Gu,NUS,Yaonan Gu,National University of Singapore (NUS),82.93,Medium confidence
Yasmin  Kassim,,Yasmin Kassim,"""University of California, San Diego""",80.0,Medium confidence
Yihang Wang,Chicago,Yihang Wang,The University of Chicago,88.75,Medium confidence
Yiqing Chen,NUS,Yiqing Chen,National University of Singapore (NUS),82.93,Medium confidence
Yohai Magen,UCSD,Yohai Magen,"""University of California, San Diego""",82.93,Medium confidence
Yu Liang,UCSD,Yu Liang,"""University of California, San Diego""",82.93,Medium confidence
Yue (Luna)  Bai,,Yue Bai,"""University of California, San Diego""",80.0,Medium confidence
Yuheng Li,NUS,Yuheng Li,National University of Singapore (NUS),82.93,Medium confidence
Yuxiang Zhang,NUS,Yuxiang Zhang,National University of Singapore (NUS),82.93,Medium confidence
Yuxing Zhou,,Yuxing Zhou,University of Oxford,80.0,Medium confidence
Zepeng Ning,NTU,Zepeng Ning,Nanyang Technological University (NTU),82.93,Medium confidence
